,name_muni,private_school_type,geometry,size,education_level_others,urban,government_level,centroid_column,x,y
204819,Porto Alegre,Não Informado,POINT (-51.12649 -30.09802),Mais de 1000 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.12649 -30.09802),-51.12649,-30.09802
204820,Porto Alegre,Não Informado,POINT (-51.19482 -30.05232),Entre 51 e 200 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.19482 -30.05232),-51.19482,-30.05232
204821,Porto Alegre,Não Informado,POINT (-51.12758 -29.9986),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.12758 -29.9986),-51.12758,-29.9986
204822,Porto Alegre,Não Informado,POINT (-51.14871 -30.02314),,,Urbana,Estadual,POINT (-51.14871 -30.02314),-51.14871,-30.02314
204823,Porto Alegre,Não Informado,POINT (-51.1915 -30.06804),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1915 -30.06804),-51.1915,-30.06804
204824,Porto Alegre,Não Informado,POINT (-51.20935074 -30.1854089),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.20935074 -30.1854089),-51.20935074,-30.1854089
204825,Porto Alegre,Não Informado,POINT (-51.16904 -30.07405),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.16904 -30.07405),-51.16904,-30.07405
204827,Porto Alegre,Não Informado,POINT (-51.16755 -30.06606),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.16755 -30.06606),-51.16755,-30.06606
204828,Porto Alegre,Não Informado,POINT (-51.14994 -30.02542),,,Urbana,Estadual,POINT (-51.14994 -30.02542),-51.14994,-30.02542
204829,Porto Alegre,Não Informado,POINT (-51.17917 -30.1166),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.17917 -30.1166),-51.17917,-30.1166
204830,Porto Alegre,Não Informado,POINT (-51.21467 -30.08991),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.21467 -30.08991),-51.21467,-30.08991
204832,Porto Alegre,Não Informado,POINT (-51.09996 -30.01538),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.09996 -30.01538),-51.09996,-30.01538
204833,Porto Alegre,Não Informado,POINT (-51.19195 -30.07805),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.19195 -30.07805),-51.19195,-30.07805
204834,Porto Alegre,Não Informado,POINT (-51.23395 -30.03636),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.23395 -30.03636),-51.23395,-30.03636
204835,Porto Alegre,Não Informado,POINT (-51.2274 -30.06336),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.2274 -30.06336),-51.2274,-30.06336
204837,Porto Alegre,Não Informado,POINT (-51.18342 -30.21193),Entre 501 e 1000 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.18342 -30.21193),-51.18342,-30.21193
204839,Porto Alegre,Não Informado,POINT (-51.1796 -30.01946),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1796 -30.01946),-51.1796,-30.01946
204840,Porto Alegre,Não Informado,POINT (-51.20233 -30.04235),,,Urbana,Estadual,POINT (-51.20233 -30.04235),-51.20233,-30.04235
204841,Porto Alegre,Não Informado,POINT (-51.23769 -30.09179),Entre 51 e 200 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.23769 -30.09179),-51.23769,-30.09179
204842,Porto Alegre,Não Informado,POINT (-51.16931 -30.04822),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.16931 -30.04822),-51.16931,-30.04822
